Group Id,Question Type,Question Content,Question Options,Answer,Configuration,Place Holder,Details,Tags,Complexity Level,Group Question ID,Parent Group Question ID,Taxonomy,Marks,Negative Marks,Course Outcome Configuration,Course Topic,Course Sub Topic
1,single select,"[type=text]
Who developed the Python programming language?","[key=A]
Dennis Ritchie

[key=B]
James Gosling

[key=C]
Guido van Rossum

[key=D]
Bjarne Stroustrup",C,,,,,Easy,,,Remember,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Introduction to Python
1,single select,"[type=text]
What is the correct file extension for Python files?","[key=A]
.pyt

[key=B]
.pt

[key=C]
.py

[key=D]
.python",C,,,,,Easy,,,Remember,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Basic Syntax
1,single select,"[type=text]
Which version of Python uses print as a function?","[key=A]
Python 2

[key=B]
Python 3

[key=C]
Both

[key=D]
Neither",B,,,,,Easy,,,Remember,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Python 2/3 differences
1,single select,"[type=text]
What is the output of 3**2 in Python?","[key=A]
6

[key=B]
9

[key=C]
8

[key=D]
Error",B,,,,,Easy,,,Apply,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Operators
1,single select,"[type=text]
What symbol is used to write comments in Python?","[key=A]
//

[key=B]
/*

[key=C]
#

[key=D]
--",C,,,,,Easy,,,Remember,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Basic Syntax
1,single select,"[type=text]
Which of these is a valid variable name?","[key=A]
2data

[key=B]
for

[key=C]
_value

[key=D]
class",C,,,,,Easy,,,Understand,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Variable
1,single select,"[type=text]
Which operator performs floor division?","[key=A]
/

[key=B]
//

[key=C]
%

[key=D]
**",B,,,,,Easy,,,Apply,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Operators
1,single select,"[type=text]
What type does input() return in Python 3?","[key=A]
int

[key=B]
float

[key=C]
str

[key=D]
bool",C,,,,,Easy,,,Understand,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Basic program structure
1,single select,"[type=text]
Which of the following is not a fundamental data type?","[key=A]
int

[key=B]
str

[key=C]
dict

[key=D]
boolean",D,,,,,Easy,,,Remember,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,fundamental data types
1,single select,"[type=text]
Python is an example of a?","[key=A]
Low-level language

[key=B]
Middle-level language

[key=C]
Object-oriented programming language

[key=D]
Assembly language",C,,,,,Easy,,,Understand,1,0,"[
    {
        ""co"": ""CO01"",
        ""weightage"": 100
    }
]",Python Intro,Features
